region,country,lakeno,year,mesh,lakearea,waterdepth,tn,tp,elev,lat,long,source,S_PIE,S,N,S_n
Tropical,Nigeria,Aiba_res,2004,500,0.37,1,3.4,0.6,238,7.64,4.2,Atobatele,1.712231858,5,123,5.428820419
Tropical,Brazil,brazil_1,2014,500,1685,0.69,3.12,0.08,489,-7.832282132,-36.69083366,Joseline,1.766757159,29,112.7820513,29
Tropical,Brazil,brazil_2,2014,500,996.5,0.55,2.19,0.26,219,-6.400326336,-36.79123446,Joseline,5.49924454,36,111.6969697,36
Tropical,Brazil,brazil_3,2014,500,6090.5,0.57,3.21,0.37,175,-6.652273758,-37.20346753,Joseline,2.681771839,15,61.05,15
Tropical,Brazil,brazil_4,2014,500,670,0.64,4.88,0.31,558,-7.893116124,-37.01204781,Joseline,1.970274757,21,182.0123457,5.754886995
Tropical,Brazil,brazil_5,2014,500,823.3,0.58,1.78,0.11,183,-6.648752955,-37.20248561,Joseline,4.733795906,43,233.699187,14.69115506
Tropical,Brazil,brazil_6,2014,500,769.6,0.73,2.02,0.11,520,-7.667468902,-36.90913661,Joseline,2.17108424,36,170.0111111,8.562687848
Subtropical,India,Hansadanga,2007,450,0.42,2.1,1.1,0.06,11,23.4,88.55,Debajyoti,1.483742157,5,829.49,4.99999993
Subtropical,India,Kalinga,2007,450,0.33,2.1,0.77,0.039,11,23.5,88.5,Debajyoti,5.470224313,7,213.99,7
Subtropical,India,Paglachandi,2007,450,0.36,2.1,0.57,0.002,21,24.22,88.29,Debajyoti,5.394956476,7,263.19,7
Temperate,Denmark,DK_64003,2004,212,121.39,1,0.89,0.04,15,54.7184,11.5713,erik,3.544200913,7,3828,6.99960125
Temperate,Denmark,DK_64001,2004,212,0.53,0.89,0.96,0.06,15,54.7397,11.5914,erik,9.562822872,19,3182,18.99930071
Temperate,Denmark,DK_64001,2007,212,0.53,0.89,1.45,0.05,15,54.7397,11.5914,erik,10.34984381,38,18139,35.44964403
Temperate,Denmark,DK_64004,2004,212,8.61,1.7,1.02,0.12,15,54.7524,11.5442,erik,3.624248707,7,4415,6.997581422
Temperate,Denmark,DK_62002,2004,212,0.61,0.63,1.71,0.15,15,54.8142,11.1511,erik,3.50738974,5,1943,4.999999945
Temperate,Denmark,DK_62002,2007,212,0.61,0.63,2.02,0.1,15,54.8142,11.1511,erik,1.906100605,7,11128,6.846003738
Temperate,Denmark,DK_41056,2005,212,0.12,0.97,0.99,0.06,15,54.845,9.3941,erik,9.03063919,33,12839,31.31155025
Temperate,Denmark,DK_62003,2006,212,0.29,1.23,2.1,0.19,15,54.8655,11.2734,erik,3.455684334,9,1020,9
Temperate,Denmark,DK_42003,2004,212,0.61,2.7,2.36,0.37,15,54.935,9.4437,erik,6.768540882,11,1845,10.99996561
Temperate,Denmark,DK_36005,2005,212,0.27,1.55,2.19,0.12,15,54.9358,9.4435,erik,2.664440954,11,10317,10.74883025
Temperate,Denmark,DK_42001,2004,212,2.04,2.1,1.33,0.07,15,54.9627,9.4317,erik,2.401250893,18,5184,17.87839092
Temperate,Denmark,DK_67001,2007,212,0.05,0.74,1.31,0.02,15,54.9766,12.5281,erik,9.654466505,17,4645,16.99226628
Temperate,Denmark,DK_52128,2005,212,0.06,1.3,0.92,0.04,15,54.9835,12.5227,erik,2.451885658,8,12858,7.683557282
Temperate,Denmark,DK_60010,2005,212,0.06,1.8,1.61,0.2,15,55.0043,11.9741,erik,5.960531626,13,5773,12.9934951
Temperate,Denmark,DK_47008,2007,212,0.61,1.96,1.13,0.11,15,55.0678,10.5266,erik,5.01932913,14,22020,12.60365672
Temperate,Denmark,DK_47011,2007,212,0.23,1.04,1.96,0.23,15,55.0694,10.4855,erik,2.183075561,6,1885,5.99999994
Temperate,Denmark,DK_60009,2005,212,0.15,2.11,1.69,0.51,15,55.0707,12.0059,erik,1.694200985,2,412,2
Temperate,Denmark,DK_45008,2006,212,0.69,2.3,1.61,0.1,15,55.1473,10.3787,erik,3.370696931,4,9067,4
